ID1,ID2,Weight
0,1,4
0,2,7
0,3,16
0,4,15
0,5,2
0,7,24
0,8,11
0,9,2
0,10,4
0,11,22
1,2,59
1,3,31
1,4,12
1,5,2
1,6,2
1,9,1
1,13,1
2,0,6
2,1,14
2,3,10
2,4,5
2,5,1
2,6,6
2,9,2
2,10,1
2,11,2
2,13,2
3,0,3
3,1,16
3,2,3
3,4,16
3,6,2
3,7,1
3,8,1
3,9,2
3,11,2
3,13,1
4,0,6
4,1,9
4,3,1
4,5,8
5,1,1
5,2,1
5,9,3
5,12,2
6,0,4
6,1,5
6,2,3
6,3,1
6,7,34
6,8,48
6,9,11
6,13,7
7,0,1
7,2,7
7,4,1
7,6,10
7,8,1
7,9,8
8,0,2
8,5,2
8,6,5
8,11,2
9,0,8
9,1,4
9,2,12
9,3,4
9,6,3
9,10,46
9,11,37
10,4,1
10,9,7
10,11,2
11,0,4
11,2,5
11,6,3
11,8,1
11,9,10
11,10,1
12,0,3
12,1,4
12,2,3
12,5,3
12,6,2
13,0,2
13,1,6
13,3,1
13,5,1
13,6,1
13,10,1
14,2,3
14,6,1
14,8,1
14,11,1
14,13,20
15,1,6
15,5,1
15,6,4
15,9,2
15,12,4
15,13,1
16,0,9
16,1,1
16,2,1
16,5,11
16,6,1
16,12,1
16,13,1
17,1,7
17,2,3
17,4,1
17,6,2
17,9,3
17,10,1
17,11,1
17,12,1
17,13,2
18,0,9
18,2,2
18,5,4
18,6,1
18,10,1
18,12,2
18,13,4
19,0,5
19,5,4
19,6,1
19,9,1
19,11,1
19,13,1
20,0,4
20,5,4
20,10,2
20,13,1
21,0,3
21,1,14
21,4,1
21,5,2
21,9,3
21,12,5
22,2,1
22,10,1
22,11,1
22,13,8
23,1,23
23,2,1
23,5,24
23,6,19
23,9,5
23,13,4
24,1,3
24,2,2
24,3,1
24,6,2
24,13,2
25,5,1
25,9,2
26,0,6
26,2,3
26,4,9
26,5,3
26,6,2
26,8,9
26,9,6
26,11,1
26,13,3
27,0,6
27,2,1
27,10,1
27,13,6
